Date,Open,High,Low,Close,Volume,Adj. Close*
01-Feb-06,27.96,28.07,27.76,28.04,68448800,28.04
31-Jan-06,27.91,28.38,27.87,28.15,94841296,28.15
30-Jan-06,27.82,28.18,27.78,28,103999200,28
27-Jan-06,27.23,27.95,27.19,27.79,134520704,27.79
26-Jan-06,26.56,26.72,26.31,26.5,69509296,26.5
25-Jan-06,26.41,26.57,26.23,26.4,59072100,26.4
24-Jan-06,26.34,26.45,26.22,26.28,63040700,26.28
23-Jan-06,26.41,26.53,26.3,26.35,47925600,26.35
20-Jan-06,27.01,27.01,26.26,26.41,79165904,26.41
19-Jan-06,26.87,27.24,26.85,27.02,60367600,27.02
18-Jan-06,26.74,26.98,26.7,26.83,52376200,26.83
17-Jan-06,26.9,27.19,26.9,26.99,58566600,26.99
13-Jan-06,27.03,27.25,27.01,27.19,41418000,27.19
12-Jan-06,27.25,27.26,26.97,27.14,45994800,27.14
11-Jan-06,27.01,27.39,26.9,27.29,70120704,27.29
10-Jan-06,26.65,27.02,26.59,27,64921900,27
09-Jan-06,26.93,27.07,26.76,26.86,55625000,26.86
06-Jan-06,26.89,27,26.49,26.91,100963000,26.91
05-Jan-06,26.96,27.13,26.91,26.99,48245500,26.99
04-Jan-06,26.77,27.08,26.77,26.97,57975600,26.97
03-Jan-06,26.25,27,26.1,26.84,79973000,26.84
30-Dec-05,26.15,26.31,26.1,26.15,49044600,26.15
29-Dec-05,26.41,26.5,26.26,26.27,34495500,26.27
28-Dec-05,26.51,26.66,26.35,26.39,35444400,26.39
27-Dec-05,26.68,26.85,26.45,26.46,37819000,26.46
23-Dec-05,26.52,26.67,26.44,26.64,30689200,26.64
22-Dec-05,26.71,26.78,26.42,26.59,91276896,26.59
21-Dec-05,26.87,26.91,26.71,26.73,75800896,26.73
20-Dec-05,26.76,26.88,26.67,26.86,62960600,26.86
19-Dec-05,26.82,26.87,26.65,26.83,68680096,26.83
16-Dec-05,26.88,27.08,26.81,26.9,88542496,26.9
15-Dec-05,27.08,27.11,26.81,26.92,79018096,26.92
14-Dec-05,27,27.24,26.85,27.09,65076200,27.09
13-Dec-05,27.29,27.43,27,27.13,104285504,27.13
12-Dec-05,27.7,27.75,27.33,27.45,63757200,27.45
09-Dec-05,27.71,27.83,27.64,27.71,48467000,27.71
08-Dec-05,27.71,27.81,27.6,27.69,63931600,27.69
07-Dec-05,27.67,27.75,27.55,27.75,55583200,27.75
06-Dec-05,27.9,27.92,27.68,27.69,65980000,27.69
05-Dec-05,27.93,28.02,27.71,27.85,47517300,27.85
02-Dec-05,27.82,28.1,27.79,28.01,42319600,28.01
01-Dec-05,27.73,28.1,27.73,27.89,61006100,27.89
30-Nov-05,27.68,27.77,27.63,27.68,55904700,27.68
29-Nov-05,27.79,27.79,27.6,27.68,62220400,27.68
28-Nov-05,27.79,27.85,27.53,27.75,57517200,27.75
25-Nov-05,27.8,27.94,27.47,27.76,44082500,27.76
23-Nov-05,27.92,28.09,27.74,27.92,70541296,27.92
22-Nov-05,28.06,28.08,27.86,27.91,104253296,27.91
21-Nov-05,28.07,28.24,27.5,28.16,65794400,28.16
18-Nov-05,28.12,28.25,27.9,28.07,75431296,28.07
17-Nov-05,27.85,28,27.76,27.97,91351000,27.97
16-Nov-05,27.48,27.88,27.44,27.74,86277000,27.74
15-Nov-05,27.33,27.54,27.25,27.5,65081000,27.5
14-Nov-05,27.36,27.44,27.2,27.37,67152200,27.29
11-Nov-05,27.15,27.39,27.13,27.28,51945600,27.2
10-Nov-05,26.94,27.15,26.64,27.09,73314800,27.01
09-Nov-05,26.98,27.15,26.94,26.96,59562100,26.88
08-Nov-05,26.94,27.18,26.77,27.05,60091700,26.97
07-Nov-05,26.72,27.08,26.7,27.01,77104800,26.93
04-Nov-05,26.53,26.71,26.45,26.66,57464000,26.58
03-Nov-05,26.6,26.64,26.25,26.44,73421600,26.36
02-Nov-05,25.93,26.5,25.93,26.46,75067104,26.38
01-Nov-05,25.61,26.1,25.61,25.96,71370400,25.88
31-Oct-05,25.61,25.8,25.5,25.7,75122096,25.62
28-Oct-05,25.1,25.6,25.1,25.53,106559296,25.46
27-Oct-05,25.22,25.27,24.85,24.85,61566100,24.78
26-Oct-05,24.97,25.33,24.93,25.11,58178100,25.04
25-Oct-05,24.95,25.13,24.83,25.03,41310500,24.96
24-Oct-05,24.89,25.1,24.68,25.1,51868000,25.03
21-Oct-05,24.91,25,24.57,24.78,69431200,24.71
20-Oct-05,25.05,25.13,24.74,24.79,58830600,24.72
19-Oct-05,24.56,25.09,24.5,25.09,66574500,25.02
18-Oct-05,24.49,24.83,24.45,24.57,69328200,24.5
17-Oct-05,24.68,24.69,24.44,24.53,46924400,24.46
14-Oct-05,24.71,24.73,24.5,24.67,53846700,24.6
13-Oct-05,24.31,24.73,24.27,24.59,70192000,24.52
12-Oct-05,24.49,24.7,24.27,24.3,71294400,24.23
11-Oct-05,24.51,24.55,24.25,24.41,76567296,24.34
10-Oct-05,24.67,24.68,24.35,24.46,48880900,24.39
07-Oct-05,24.77,24.84,24.52,24.59,50768700,24.52
06-Oct-05,24.66,24.95,24.53,24.73,81724600,24.66
05-Oct-05,25.04,25.05,24.67,24.67,73684704,24.6
04-Oct-05,25.36,25.39,24.75,24.98,151666304,24.91
03-Oct-05,25.71,25.73,25.44,25.5,55341300,25.43
30-Sep-05,25.91,25.95,25.61,25.73,57644500,25.65
29-Sep-05,25.61,26,25.5,25.94,66807100,25.86
28-Sep-05,25.39,25.87,25.38,25.67,71019400,25.59
27-Sep-05,25.37,25.45,25.3,25.34,48797900,25.27
26-Sep-05,25.4,25.49,25.21,25.27,56203700,25.2
23-Sep-05,25.31,25.54,25.12,25.27,66396800,25.2
22-Sep-05,25.49,25.6,25.15,25.34,71314896,25.27
21-Sep-05,25.8,25.9,25.43,25.49,68281800,25.42
20-Sep-05,26.07,26.22,25.69,25.84,61043400,25.76
19-Sep-05,26.09,26.27,25.86,26,61832300,25.92
